alpha_cosine,beta_bm25,threshold,val_f1,accuracy,precision,recall,f1,cache_hit_rate,false_hit_rate,positive_exact_match_hit_rate,avg_latency_ms,p95_latency_ms,tp,fp,tn,fn
0.0,1.0,1.0,0.6771653543307087,0.6166666666666667,0.577433628318584,0.87,0.6941489361702127,0.7533333333333333,0.6366666666666667,0.0,22.433239166659103,26.39915500030838,261.0,191.0,109.0,39.0
0.1,0.9,0.9,0.6771653543307087,0.6166666666666667,0.577433628318584,0.87,0.6941489361702127,0.7533333333333333,0.6366666666666667,0.0,23.155468500020408,27.552905000038656,261.0,191.0,109.0,39.0
0.2,0.8,0.8,0.6771653543307087,0.6166666666666667,0.577433628318584,0.87,0.6941489361702127,0.7533333333333333,0.6366666666666667,0.0,23.316232999989854,28.07842000001983,261.0,191.0,109.0,39.0
0.3,0.7,0.7,0.6771653543307087,0.6166666666666667,0.577433628318584,0.87,0.6941489361702127,0.7533333333333333,0.6366666666666667,0.0,25.32809366665636,29.69978500041179,261.0,191.0,109.0,39.0
0.4,0.6,0.6,0.6771653543307087,0.6166666666666667,0.577433628318584,0.87,0.6941489361702127,0.7533333333333333,0.6366666666666667,0.0,26.442883333328002,32.82861500056242,261.0,191.0,109.0,39.0
0.5,0.5,0.5,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,24.03466199999154,28.451169999925696,300.0,300.0,0.0,0.0
0.6,0.4,0.6,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,26.681381500023537,31.30917999992561,300.0,300.0,0.0,0.0
0.7,0.30000000000000004,0.7,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,28.58706666665512,35.13670499946784,300.0,300.0,0.0,0.0
0.8,0.19999999999999996,0.8,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,28.620559166664254,33.24524999975438,300.0,300.0,0.0,0.0
0.9,0.09999999999999998,0.9,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,27.99343183331833,32.62422000052538,300.0,300.0,0.0,0.0
1.0,0.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,28.464688333339534,33.3835850005471,300.0,300.0,0.0,0.0
